geoid,state,county,reg_rate_all_pct,cvap_total,cvap_hisp,cvap_nonhisp,reg_rate_hisp_pct,reg_rate_nonhisp_pct,edu_hs_plus_pct,edu_somecoll_pct,edu_ba_plus_pct,edu_grad_plus_pct,edu_lt_hs_pct,Percent_Less_Than_9th,Percent_9_12_NoDiploma,Percent_HS_Diploma,Percent_College_NoDegree,Percent_Associates,Percent_Bachelors,Percent_Graduate,Percent_Poverty,Unemployment_Rate,Median_Income,age_median,pct_under18,pct_65plus,pct_male,pct_female,pct_hispanic,pct_white_nh,pct_black_nh
17001,IL,Adams County,68.82415106952281,50085,790,49295,83.21261041949626,68.59356210742767,92.2,32.6,25.2,8.8,7.800000000000001,1.9,5.9,34.4,23.6,9,16.4,8.8,11.2,4.1,55052,41.4,22.7,20.2,49.1,50.9,1.6,91.3,4
17003,IL,Alexander County,68.6732809336317,3950,45,3900,83.21261041949626,68.59356210742767,85.80000000000001,35.5,11.600000000000001,2.7,14.2,4.5,9.7,38.7,25.1,10.4,8.9,2.7,25.6,7.7,34709,46.6,22.6,22.5,47.9,52.1,1,62.7,35.1
17005,IL,Bond County,69.07216190335849,13440,440,13000,83.21261041949626,68.59356210742767,89.9,35,21.7,8.5,10,2.1,7.9,33.2,24.5,10.5,13.2,8.5,14.4,2.6,53568,42.5,19.1,18.8,52.6,47.4,3.6,87.6,6.7
17007,IL,Boone County,71.02169285061176,37810,6280,31530,83.21261041949626,68.59356210742767,86.69999999999999,30.2,24.2,9.6,13.3,5.7,7.6,32.3,21.9,8.3,14.6,9.6,7.7,7.5,70396,38.7,24.7,15.6,49.8,50.2,22.2,72.5,2.5
17009,IL,Brown County,69.39711635408912,5185,285,4900,83.21261041949626,68.59356210742767,82.3,30.4,12.799999999999999,2.6,17.7,4.1,13.6,39.1,23,7.4,10.2,2.6,10.3,3.1,60694,38.9,17.9,14.9,63.3,36.7,6.7,73.9,17.9
17011,IL,Bureau County,69.62881660162996,25630,1815,23815,83.21261041949626,68.59356210742767,90.60000000000001,33.9,20.700000000000003,6.9,9.4,2.7,6.7,36,24.4,9.5,13.8,6.9,11.3,5,55549,44.2,21.4,22,49.1,50.9,9.3,87.2,0.8
17013,IL,Calhoun County,68.76039860742276,3505,40,3465,83.21261041949626,68.59356210742767,93.6,36.2,15.7,6.1,6.3,2.8,3.5,41.7,20.2,16,9.6,6.1,8.8,4.4,66602,46.8,20.6,23.8,50.6,49.4,1.3,96.2,0.6
17015,IL,Carroll County,69.19249482695166,12730,545,12180,83.21261041949626,68.59356210742767,90.2,32.8,19.8,6.8,9.899999999999999,2.3,7.6,37.6,23.9,8.9,13,6.8,10.9,5.8,52813,48,18.9,25.3,50.2,49.8,3.8,92.9,2.1
17017,IL,Cass County,70.17423068588045,8555,925,7630,83.21261041949626,68.59356210742767,83.4,26.8,16,4.3,16.700000000000003,6.9,9.8,40.6,19.3,7.5,11.7,4.3,15.9,6.4,53899,39.4,24.4,17.8,49.4,50.6,19.2,74.9,3.8
17019,IL,Champaign County,69.45778802856286,149620,8845,140775,83.21261041949626,68.59356210742767,94.9,28,45,23.9,5.1,1.4,3.7,21.9,19.7,8.3,21.1,23.9,22.6,4.8,53936,30.4,18.9,12.8,49.9,50.1,6.1,66.5,13.3
17021,IL,Christian County,68.94254349197537,26810,640,26170,83.21261041949626,68.59356210742767,88.2,30.4,17.9,5.2,11.8,2.9,8.9,39.9,20.3,10.1,12.7,5.2,10.5,3.4,52120,43.7,20,19.7,50.8,49.2,1.6,94.9,1.5
17023,IL,Clark County,68.76891593462717,11800,165,11630,83.21261041949626,68.59356210742767,93.30000000000001,32.3,21.9,8,6.8,2.2,4.6,39.1,18.4,13.9,13.9,8,9.5,4,59481,41.9,22.5,19.8,49.9,50.1,1.6,96.6,0.5
17025,IL,Clay County,68.63912335709435,10120,55,10060,83.21261041949626,68.59356210742767,87.7,34.2,15.3,5.5,12.4,3.1,9.3,38.2,21.8,12.4,9.8,5.5,17.7,5.6,52167,42.1,22.8,20.5,49.7,50.3,0.2,96,0.4
17027,IL,Clinton County,68.880914408402,28490,560,27930,83.21261041949626,68.59356210742767,90.1,36.2,21.7,6.6,9.8,4,5.8,32.2,21.3,14.9,15.1,6.6,7,3.1,67179,40.6,21.1,17.1,52,48,3.2,91.1,3.2
17029,IL,Coles County,69.01752812206529,37585,1090,36495,83.21261041949626,68.59356210742767,90.9,33.8,26,10.8,9.1,3,6.1,31.1,22.6,11.2,15.2,10.8,22.4,6.8,46411,36.6,18,17.1,48.4,51.6,2.7,90.7,3.9
17031,IL,Cook County,71.48318815877691,3585950,708805,2877145,83.21261041949626,68.59356210742767,87.6,25,40,16.4,12.399999999999999,6.3,6.1,22.6,18.4,6.6,23.6,16.4,12.3,7,67886,37,21.8,14.7,48.5,51.5,25.3,42,22.9
17033,IL,Crawford County,68.88231769060955,14760,315,14440,83.21261041949626,68.59356210742767,86.1,40.7,16.5,5.3,13.899999999999999,3.2,10.7,28.9,23.7,17,11.2,5.3,13,4,50968,42.2,19.3,19,53.5,46.5,2.3,90.9,5.7
17035,IL,Cumberland County,68.56860620033618,7885,10,7870,83.21261041949626,68.59356210742767,91.89999999999999,32.8,18.9,5.3,8,2.3,5.7,40.2,19.6,13.2,13.6,5.3,11.1,2.3,59271,42.2,22.5,19.9,50.6,49.4,1,96.5,0.1
17039,IL,De Witt County,68.94612127670003,12025,290,11735,83.21261041949626,68.59356210742767,92.7,32.7,20.4,5.7,7.199999999999999,2.1,5.1,39.6,24.4,8.3,14.7,5.7,9.3,4.8,57727,44.2,22.1,19.2,49.4,50.6,2.8,94.4,1
17037,IL,DeKalb County,70.02450667748388,75550,7395,68155,83.21261041949626,68.59356210742767,92.2,34.4,32.4,12.2,7.9,3.1,4.8,25.4,24,10.4,20.2,12.2,16.7,6.6,62353,31.3,21.5,12.6,49.5,50.5,11.4,76.1,7.2
17041,IL,Douglas County,69.46122128951042,14490,860,13630,83.21261041949626,68.59356210742767,83.5,30.3,20.1,5.8,16.6,10.3,6.3,33.1,21,9.3,14.3,5.8,9.4,3.2,59620,38.2,24.8,18,49.7,50.3,7.3,90,0.8
17043,IL,DuPage County,70.23838501358442,649840,73115,576725,83.21261041949626,68.59356210742767,93.3,24.8,50.3,19.7,6.7,3.5,3.2,18.2,17.6,7.2,30.6,19.7,5.7,4.4,94930,39.5,22.7,15.6,49.1,50.9,14.3,66.2,4.8
17045,IL,Edgar County,68.80782098911527,13305,195,13110,83.21261041949626,68.59356210742767,90.1,33.4,18,5.3,10,3.3,6.7,38.7,21.8,11.6,12.7,5.3,11.7,4.5,48543,45.8,19.8,22.3,49.4,50.6,1.3,96.8,0.6
17047,IL,Edwards County,68.73279113897118,4725,45,4680,83.21261041949626,68.59356210742767,92.2,44.6,13.3,3.2,7.8,1.7,6.1,34.3,26.1,18.5,10.1,3.2,13.1,7.7,53801,44.1,22.9,21.2,49.1,50.9,1.4,96.5,0.4
17049,IL,Effingham County,68.78062243867943,25790,330,25460,83.21261041949626,68.59356210742767,93.1,36,23.200000000000003,7.1,6.9,3.4,3.5,33.9,21.5,14.5,16.1,7.1,10,2.6,59932,39.5,23.6,17.5,49.8,50.2,2.1,95.6,0.5
17051,IL,Fayette County,68.97428902410778,16895,440,16455,83.21261041949626,68.59356210742767,86.60000000000001,34.2,12.4,3.5,13.5,3.7,9.8,40,22.1,12.1,8.9,3.5,16.2,4.4,45634,42,20.7,19.1,52.9,47.1,1.8,92.1,4.4
17053,IL,Ford County,68.94025890534235,10120,240,9880,83.21261041949626,68.59356210742767,91.10000000000001,33.599999999999994,21.6,7.7,8.8,2.3,6.5,35.9,23.4,10.2,13.9,7.7,12.6,4.4,50582,43.2,22.6,19,49.3,50.7,3.5,92.9,0.9
17055,IL,Franklin County,68.80020957537968,29005,410,28595,83.21261041949626,68.59356210742767,88.7,38.900000000000006,17,5.1,11.200000000000001,2.4,8.8,32.8,27.6,11.3,11.9,5.1,18.5,7.2,43671,43,22.1,20.6,49.3,50.7,1.7,95.6,0.6
17057,IL,Fulton County,68.8953520876861,26475,570,25900,83.21261041949626,68.59356210742767,89.3,34.7,18.3,5.8,10.600000000000001,2.7,7.9,36.3,24.5,10.2,12.5,5.8,15.7,6.8,52243,43.9,19.7,20.7,51.8,48.2,3.1,91.6,3.7
17059,IL,Gallatin County,68.67923789679136,3885,4,3885,83.21261041949626,68.59356210742767,86.69999999999999,36.3,11.6,4,13.4,5,8.4,38.8,26.5,9.8,7.6,4,21.4,8.7,43092,45.9,21,23.8,48.7,51.3,1.1,95.5,0.4
17061,IL,Greene County,68.70359795493786,9300,70,9230,83.21261041949626,68.59356210742767,92.89999999999999,31.1,15.3,4.3,7.199999999999999,2.4,4.8,46.5,21,10.1,11,4.3,13.5,2.9,51746,42.5,21,19.5,50.5,49.5,1.2,96.3,1.5
17063,IL,Grundy County,69.97510971605449,39205,3705,35500,83.21261041949626,68.59356210742767,93.60000000000001,36.4,25.5,8.8,6.4,1.7,4.7,31.7,27,9.4,16.7,8.8,5.9,4.4,75767,38.1,25.2,13.9,50,50,10.2,85.7,1.1
17065,IL,Hamilton County,68.76009317038044,6145,70,6075,83.21261041949626,68.59356210742767,86.5,34.9,21.2,8.7,13.5,6.1,7.4,30.4,24.7,10.2,12.5,8.7,11.5,3.5,55977,44.3,21.6,21.3,49,51,1.5,95.8,0.3
17067,IL,Hancock County,68.74942696075486,13600,145,13455,83.21261041949626,68.59356210742767,93.5,35,22.3,6.5,6.6,1.6,5,36.2,22.4,12.6,15.8,6.5,11.5,5.6,55818,45.7,21,23.6,49.7,50.3,1.6,95.7,0.5
17069,IL,Hardin County,68.71070191762053,3120,25,3095,83.21261041949626,68.59356210742767,86.7,39.400000000000006,11.2,3.7,13.3,4.3,9,36.1,23.1,16.3,7.5,3.7,14,6.3,50847,48.8,14.2,24.9,52,48,0.8,96.1,2.5
17071,IL,Henderson County,68.72306155113694,5080,45,5035,83.21261041949626,68.59356210742767,92,32.7,17.5,4.4,8,1.4,6.6,41.8,22.1,10.6,13.1,4.4,9.9,6.2,55759,50.8,18.3,25.7,49.5,50.5,1.8,95.5,0.2
17073,IL,Henry County,69.30685719351648,37845,1870,35970,83.21261041949626,68.59356210742767,92.5,34.6,23.8,7.3,7.5,1.7,5.8,34.1,22.1,12.5,16.5,7.3,9.5,4.2,60000,43.4,22.3,20.6,49.5,50.5,5.8,90.1,1.8
17075,IL,Iroquois County,69.26993912847564,20425,945,19480,83.21261041949626,68.59356210742767,88.10000000000001,33.3,15.4,4.5,12,3.7,8.3,39.4,23.5,9.8,10.9,4.5,11.8,5.7,54445,44.5,21.7,21.5,48.7,51.3,7.1,89.6,0.8
17077,IL,Jackson County,69.16945317134817,40870,1610,39260,83.21261041949626,68.59356210742767,92.6,32.7,35.6,19.3,7.3,2.5,4.8,24.3,23.9,8.8,16.3,19.3,27.2,8.9,39689,32.1,18.5,15.5,49.4,50.6,4.4,73.9,15
17079,IL,Jasper County,68.73718784523044,7125,70,7055,83.21261041949626,68.59356210742767,92.6,36.9,18.799999999999997,6.6,7.4,2.9,4.5,36.9,19.4,17.5,12.2,6.6,10.3,4.4,55911,44.1,22.7,19.6,50.2,49.8,0.6,97.2,0.4
17081,IL,Jefferson County,68.89222146196539,28315,555,27765,83.21261041949626,68.59356210742767,89.10000000000001,40.6,17.4,6.2,11,3,8,31.1,27.2,13.4,11.2,6.2,13.2,6.2,51662,41.2,22.2,19.1,51.4,48.6,2.8,84.8,7.9
17083,IL,Jersey County,68.74917586828943,16910,180,16730,83.21261041949626,68.59356210742767,93.1,32.7,24.299999999999997,9.1,6.9,2.4,4.5,36.1,20.1,12.6,15.2,9.1,8.1,4.3,67845,43,20.3,19.3,49,51,1.5,95.5,0.5
17085,IL,Jo Daviess County,69.00501857554106,17765,500,17265,83.21261041949626,68.59356210742767,92.4,31.200000000000003,26.4,10,7.6,3.5,4.1,34.8,21.3,9.9,16.4,10,9.7,2.4,59223,50.4,19,28,50.3,49.7,3.1,94.5,0.6
17087,IL,Johnson County,69.12930368551538,10915,400,10515,83.21261041949626,68.59356210742767,82.19999999999999,33.4,16,3.9,17.7,5,12.7,32.8,23.4,10,12.1,3.9,12.3,3.7,55363,43.8,18.2,21.4,55,45,3.1,85.5,10.3
17089,IL,Kane County,71.96607189980769,347410,80145,267265,83.21261041949626,68.59356210742767,85.7,28.200000000000003,34.7,12.2,14.399999999999999,7.8,6.6,22.8,20.6,7.6,22.5,12.2,7.2,5,83374,37.7,25.5,13.7,49.8,50.2,32,56.7,5.2
17091,IL,Kankakee County,69.72714185662116,79635,6175,73460,83.21261041949626,68.59356210742767,88.2,33,20.6,7.6,11.7,4.3,7.4,34.6,23.6,9.4,13,7.6,11.9,5.4,59370,38.2,22.8,16.7,49.3,50.7,10.6,71.4,14.8
17093,IL,Kendall County,71.06506295288614,91615,15465,76155,83.21261041949626,68.59356210742767,92.3,33.1,35.900000000000006,12.8,7.7,3,4.7,23.3,22.3,10.8,23.1,12.8,3.7,4.1,96854,35.5,28.5,10.4,49.4,50.6,19.4,68.2,7.5
17095,IL,Knox County,69.25997379249976,38280,1745,36535,83.21261041949626,68.59356210742767,88.7,34.2,19.2,6.8,11.3,2.8,8.5,35.3,22.7,11.5,12.4,6.8,18.2,5.2,44464,42,19.8,21.4,50.8,49.2,6,82.4,8.7
17099,IL,LaSalle County,69.68672171287395,83850,6270,77580,83.21261041949626,68.59356210742767,89.6,35.5,18.4,6.3,10.4,3,7.4,35.7,24.6,10.9,12.1,6.3,13.2,6,60069,42.1,21.5,18.8,50.4,49.6,9.9,85,2.6
17097,IL,Lake County,71.01115152196007,481670,79655,402015,83.21261041949626,68.59356210742767,90.69999999999999,24.6,46,19.1,9.2,4.8,4.4,20.1,18.1,6.5,26.9,19.1,6.9,5.3,92654,38.5,24.2,14.3,50,50,21.9,60.8,6.5
17101,IL,Lawrence County,68.88257129975852,12140,240,11900,83.21261041949626,68.59356210742767,85.10000000000001,34.5,14,4.7,15.1,4.4,10.7,36.6,20.8,13.7,9.3,4.7,13.7,4.6,53087,41.6,18.9,17.5,56,44,2.8,84.6,9.6
17103,IL,Lee County,69.35108222499619,26825,1390,25435,83.21261041949626,68.59356210742767,89.7,36.6,18.8,6.4,10.4,2.5,7.9,34.3,25.3,11.3,12.4,6.4,12.6,3.3,59986,43.5,19.7,19.5,53.1,46.9,6.4,85.9,5.3
17105,IL,Livingston County,69.1799159507974,27550,1105,26445,83.21261041949626,68.59356210742767,89.7,31.1,16.5,5.4,10.3,3,7.3,42.1,22.8,8.3,11.1,5.4,11.9,4.9,58676,41.6,21.6,19.4,51.1,48.9,4.8,88.9,3.9
17107,IL,Logan County,69.0429230112506,22235,660,21580,83.21261041949626,68.59356210742767,89.9,33.8,19.5,6.2,10,2.7,7.3,36.6,24.6,9.2,13.3,6.2,9.9,5.7,58122,40,19.2,18.2,49.4,50.6,3.5,86.1,7.4
17115,IL,Macon County,68.834216438468,78060,1285,76775,83.21261041949626,68.59356210742767,91.30000000000001,33.4,23.6,7.9,8.7,2.2,6.5,34.3,24.5,8.9,15.7,7.9,14.6,7.7,53725,41.1,22.3,19.9,47.8,52.2,2.3,75.7,15.7
17117,IL,Macoupin County,68.73904595471868,35170,350,34820,83.21261041949626,68.59356210742767,91.5,33,18.5,5.9,8.5,2.1,6.4,40,22.8,10.2,12.6,5.9,13.8,5.5,56264,43.9,21.2,20,49.6,50.4,1.3,95.7,1
17119,IL,Madison County,69.03820068753508,205655,6255,199400,83.21261041949626,68.59356210742767,92.7,36.1,27.7,10.3,7.3,2,5.3,28.9,25.3,10.8,17.4,10.3,12.6,5.4,64045,40.3,21.8,17.3,48.7,51.3,3.4,84.5,8.5
17121,IL,Marion County,68.7610676796614,28230,300,27935,83.21261041949626,68.59356210742767,89.4,39,16.2,5.8,10.6,3.3,7.3,34.2,26.8,12.2,10.4,5.8,16.1,8.8,49925,42.4,23,19.8,48.9,51.1,2.1,90.6,3.4
17123,IL,Marshall County,68.89745917299585,9140,190,8950,83.21261041949626,68.59356210742767,92.50000000000001,36.1,18.200000000000003,4.4,7.6,2,5.6,38.2,25.7,10.4,13.8,4.4,10.9,4.4,57303,46.4,20.5,23.1,49.6,50.4,3,94.1,0.3
17125,IL,Mason County,68.7939210661834,10215,140,10075,83.21261041949626,68.59356210742767,89.10000000000001,32.5,16.5,5,10.9,4,6.9,40.1,21.6,10.9,11.5,5,15.3,6.1,50883,45.4,20.6,22.4,49.4,50.6,1.2,96.4,0.4
17127,IL,Massac County,68.76182923809144,10860,125,10735,83.21261041949626,68.59356210742767,88.9,39.400000000000006,13.8,3.8,11.3,3.8,7.5,35.7,26.6,12.8,10,3.8,17.5,5.6,51195,43.7,22,20.8,47.1,52.9,3,87.5,5.5
17109,IL,McDonough County,69.00038781319236,21920,610,21310,83.21261041949626,68.59356210742767,95.20000000000002,32,32.4,16.4,4.8,1.4,3.4,30.8,21.4,10.6,16,16.4,25.6,9.1,43591,33.7,17.1,17.8,48.4,51.6,2.9,87.5,4.8
