GEO_ID,Name,Total_Poverty,Percent_Poverty,Total_Less_Than_9th,Total_9_12_NoDiploma,Total_HS_Diploma,Total_College_NoDegree,Total_Associates,Total_Bachelors,Total_Graduate,Percent_Less_Than_9th,Percent_9_12_NoDiploma,Percent_HS_Diploma,Percent_College_NoDegree,Percent_Associates,Percent_Bachelors,Percent_Graduate,Median_Income,Unemployment_Rate
0500000US17001,"Adams County, Illinois",37230,11.2,894,2687,15776,10804,4140,7537,4024,1.9,5.9,34.4,23.6,9.0,16.4,8.8,55052,4.1
0500000US17003,"Alexander County, Illinois",3256,25.6,193,417,1661,1078,445,380,114,4.5,9.7,38.7,25.1,10.4,8.9,2.7,34709,7.7
0500000US17005,"Bond County, Illinois",8619,14.4,251,940,3926,2905,1245,1568,1006,2.1,7.9,33.2,24.5,10.5,13.2,8.5,53568,2.6
0500000US17007,"Boone County, Illinois",31673,7.7,2001,2673,11331,7694,2915,5125,3364,5.7,7.6,32.3,21.9,8.3,14.6,9.6,70396,7.5
0500000US17009,"Brown County, Illinois",2739,10.3,196,655,1889,1112,356,494,126,4.1,13.6,39.1,23.0,7.4,10.2,2.6,60694,3.1
0500000US17011,"Bureau County, Illinois",18528,11.3,624,1563,8426,5718,2225,3234,1607,2.7,6.7,36.0,24.4,9.5,13.8,6.9,55549,5.0
0500000US17013,"Calhoun County, Illinois",2614,8.8,99,123,1449,703,558,334,212,2.8,3.5,41.7,20.2,16.0,9.6,6.1,66602,4.4
0500000US17015,"Carroll County, Illinois",7597,10.9,246,810,4020,2560,947,1385,725,2.3,7.6,37.6,23.9,8.9,13.0,6.8,52813,5.8
0500000US17017,"Cass County, Illinois",7119,15.9,575,815,3393,1613,625,974,361,6.9,9.8,40.6,19.3,7.5,11.7,4.3,53899,6.4
0500000US17019,"Champaign County, Illinois",129660,22.6,1774,4480,26809,24109,10139,25835,29324,1.4,3.7,21.9,19.7,8.3,21.1,23.9,53936,4.8
0500000US17021,"Christian County, Illinois",18310,10.5,690,2100,9454,4818,2401,3023,1231,2.9,8.9,39.9,20.3,10.1,12.7,5.2,52120,3.4
